Name in documentation	Qty	Full Name	Supplier 1	Part No	Link	Supplier 2	Part No	Link
28BYJ-48	3	Motor						
M3x30 screws	1	M3x8 Pan Head Steel	RS	528-817	https://uk.rs-online.com/web/p/machine-screws/0528817/	McMasterCarr	90116A207	https://www.mcmaster.com/90116A207
M3x8 screws	16	M3x8 Pan Head Steel	RS	528-817	https://uk.rs-online.com/web/p/machine-screws/0528817/	McMasterCarr	90116A207	https://www.mcmaster.com/90116A207
M4x10 screws	12	M4x10 Pan Head Steel	RS	528-817	https://uk.rs-online.com/web/p/machine-screws/0528817/	McMasterCarr	90116A207	https://www.mcmaster.com/90116A207
M6x130 screws	2	M3x8 Pan Head Steel	RS	528-817	https://uk.rs-online.com/web/p/machine-screws/0528817/	McMasterCarr	90116A207	https://www.mcmaster.com/90116A207
ULN2003	3	Motor driver						
